wind speed,direction,Power Output
16,218,34.76
15.91,218,36.59
15.82,218,32.35
15.73,218,39.37
15.64,218,33.22
15.55,218,37.09
15.46,218,41.23
15.37,218,32.72
15.28,218,40.39
15.19,218,37.54
15.1,218,37.87
15.01,218,37.51
14.91,218,32.27
14.82,218,33.89
14.73,218,36
14.63,218,40.18
14.54,218,38.14
14.45,218,30.81
14.35,218,32.07
14.26,218,32.02
14.17,218,39.31
14.07,217,33.76
13.98,217,29.74
13.88,217,35.62
13.79,217,38.76
13.69,217,32.73
13.6,217,31.44
13.5,217,29.87
13.41,217,35.48
13.31,217,35.94
