,Day,Temp_Hi,Temp_Low,Cloud,Solar,windspeed,Direction,Rainfall,Month,Power_Solar,Power_Wind
0,12,27.42,25.65,80.0,14.38,6.98,232.0,4.22,9.0,26.48,30.34
1,13,26.01,24.24,100.0,14.58,4.88,251.0,61.15,9.0,33.1,35.36
2,14,25.98,24.9,100.0,14.48,4.95,223.0,19.84,9.0,33.1,23.88
3,15,25.87,22.0,79.0,13.89,7.68,226.0,3.74,9.0,26.15,15.8455
4,16,26.53,25.12,100.0,14.36,8.14,229.0,10.46,9.0,33.1,30.67
5,17,27.03,25.29,30.0,13.85,7.59,223.0,3.68,9.0,9.94,27.44
6,18,26.78,25.27,98.0,12.96,4.0,248.0,0.37,9.0,32.43,32.94
7,19,26.83,24.86,97.0,13.52,6.95,228.0,0.25,9.0,0.642,28.65
8,20,26.59,25.32,99.0,13.63,7.71,225.0,1.69,9.0,32.76,28.43
9,21,27.73,25.35,48.0,14.24,6.47,235.0,1.69,9.0,15.9,30.89
10,22,27.39,25.65,53.0,14.53,7.13,224.0,7.17,9.0,17.55,27.24
