,prediction_num,datetime,Temp_Hi,Temp_Low,Cloud,Solar,windspeed,Direction,Rainfall,Day,Month
0,0,2020-09-12 11:00:00,27.42,25.65,80,14.38,6.98,232,4.22,12,9
1,1,2020-09-13 11:00:00,26.01,24.24,100,14.58,4.88,251,61.15,13,9
2,2,2020-09-14 11:00:00,25.98,24.9,100,14.48,4.95,223,19.84,14,9
0,0,2020-09-15 11:00:00,25.87,22.0,79,13.89,7.68,226,3.74,15,9
1,1,2020-09-16 11:00:00,26.53,25.12,100,14.36,8.14,229,10.46,16,9
2,2,2020-09-17 11:00:00,27.03,25.29,30,13.85,7.59,223,3.68,17,9
3,3,2020-09-18 11:00:00,26.78,25.27,98,12.96,4.0,248,0.37,18,9
4,4,2020-09-19 11:00:00,26.83,24.86,97,13.52,6.95,228,0.25,19,9
5,5,2020-09-20 11:00:00,26.59,25.32,99,13.63,7.71,225,1.69,20,9
6,6,2020-09-21 11:00:00,27.73,25.35,48,14.24,6.47,235,1.69,21,9
7,7,2020-09-22 11:00:00,27.39,25.65,53,14.53,7.13,224,7.17,22,9
