wind speed,direction,Power Output
16,218,34.76
15.91,218,36.59
15.82,218,32.35
15.73,218,39.37
15.64,218,33.22
15.55,218,37.09
15.46,218,41.23
15.37,218,32.72
15.28,218,40.39
15.19,218,37.54
15.1,218,37.87
15.01,218,37.51
14.91,218,32.27
14.82,218,33.89
14.73,218,36
14.63,218,40.18
14.54,218,38.14
14.45,218,30.81
14.35,218,32.07
14.26,218,32.02
14.17,218,39.31
14.07,217,33.76
13.98,217,29.74
13.88,217,35.62
13.79,217,38.76
13.69,217,32.73
13.6,217,31.44
13.5,217,29.87
13.41,217,35.48
13.31,217,35.94
13.22,217,33.83
13.12,217,29.91
13.03,217,32.96
12.93,217,33.19
12.84,217,33.01
12.74,217,30.82
12.64,216,30.64
12.55,216,31.24
12.45,216,36.77
12.35,216,31.51
12.26,216,27.27
12.16,216,36.27
12.06,216,32.7
11.97,216,27.82
11.87,216,34.02
11.77,216,33.22
11.68,216,30.22
11.58,215,30.16
11.48,215,28
11.38,215,31.02
11.29,215,34.55
11.19,215,33.54
11.09,215,29.26
10.99,215,31.39
10.89,215,27.42
10.8,215,27.18
10.7,214,35.27
10.6,214,28.44
10.5,214,32.22
10.4,214,31.05
10.3,214,25.28
10.2,214,34.8
10.1,214,28.64
10,214,29.77
9.9,213,26.3
9.8,213,28.27
9.7,213,27.78
9.59,213,24.92
9.49,213,32.28
9.39,213,31.38
9.29,213,23.39
9.18,212,24.91
9.08,212,26.18
8.98,212,33.58
8.87,212,34.04
8.77,212,34.25
8.66,212,23.19
8.55,211,29.97
8.45,211,24.46
8.34,211,28.97
8.23,211,33.15
8.12,211,31.55
8.01,210,29.67
7.9,210,24.66
7.79,210,23.61
7.68,210,30.31
7.56,210,24.01
7.45,209,31.35
11.11,223,31.28
13.92,219,24.53
11.61,222,33.89
14.56,217,23.35
11.42,223,24.96
13.7,219,23.98
13.89,219,27.45
12.99,220,30.62
13.5,220,23.73
13.55,219,30.24
14.96,217,30.68
14.33,218,24.64
14.46,218,25.68
12.78,220,27.66
12.94,220,24.37
13.47,220,26.14
14.01,219,23.41
13.28,220,28.6
12.54,221,29.03
12.77,220,23.17
12.88,220,31.43
11.35,223,26.08
12.86,220,32
13.25,220,31.28
11.78,222,30.34
11.59,223,27.29
14.48,218,25.11
13.63,220,25.62
14.1,219,30.68
11.76,223,25.95
13.55,220,24.93
12.35,222,27.77
13.73,220,32.18
14.89,218,31.41
14.39,219,31.78
14.75,218,26.95
12.98,221,29.11
15.06,218,31.33
13.9,220,28.84
12.07,223,30.36
11.83,223,32.7
11.84,223,35.43
13.26,221,34.93
14.74,219,30.84
13.1,221,33.09
14.37,220,26.84
13.97,220,29.51
14.94,219,27.61
13.85,220,31.13
12.52,223,31.96
15.93,217,26.03
16.2,217,31.02
14,220,31.13
15.93,217,31.77
13.34,222,35.88
12.93,223,26.22
15.74,218,30.39
15.05,220,29.77
15.33,219,29.11
13.59,222,28.79
16.28,217,28.97
16.44,217,36.58
16.06,218,29.33
14.07,221,29.82
15.56,219,36.87
13.51,223,33.47
16.16,218,32.58
14.69,220,34.02
13.25,223,38.88
16.51,218,30.19
16.03,219,28.39
16.24,219,34.14
14.2,222,35.39
15.79,220,31.95
17.34,217,39.39
13.95,223,38.04
14.09,223,31.6
16.48,219,32.28
14.79,222,37.92
14.63,222,32.55
